2025-04-12 23:11:04,553 - ERROR - D:\AI\vector\output_dir\output_part_105.json | Line: 1350 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:04,624 - ERROR - D:\AI\vector\output_dir\output_part_106.json | Line: 1843 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:04,779 - ERROR - D:\AI\vector\output_dir\output_part_108.json | Line: 1746 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:04,859 - ERROR - D:\AI\vector\output_dir\output_part_109.json | Line: 1803 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:04,935 - ERROR - D:\AI\vector\output_dir\output_part_110.json | Line: 1657 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:05,014 - ERROR - D:\AI\vector\output_dir\output_part_111.json | Line: 2019 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:05,152 - ERROR - D:\AI\vector\output_dir\output_part_113.json | Line: 1464 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:05,240 - ERROR - D:\AI\vector\output_dir\output_part_114.json | Line: 1515 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:05,392 - ERROR - D:\AI\vector\output_dir\output_part_117.json | Line: 1579 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:05,471 - ERROR - D:\AI\vector\output_dir\output_part_118.json | Line: 2162 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:05,842 - ERROR - D:\AI\vector\output_dir\output_part_122.json | Line: 1844 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:05,941 - ERROR - D:\AI\vector\output_dir\output_part_123.json | Line: 1845 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:06,096 - ERROR - D:\AI\vector\output_dir\output_part_125.json | Line: 1868 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:06,175 - ERROR - D:\AI\vector\output_dir\output_part_126.json | Line: 1548 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:06,255 - ERROR - D:\AI\vector\output_dir\output_part_127.json | Line: 1954 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:06,336 - ERROR - D:\AI\vector\output_dir\output_part_128.json | Line: 1021 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
